Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes
2020-06-20 21:33;Push;Bench Press (Barbell);1;30;kg;8;;;;0;;
2020-06-20 21:33;Push;Bench Press (Barbell);2;30;kg;8;;;;0;;
2020-06-20 21:33;Push;Bench Press (Barbell);3;30;kg;8;;;;0;;
2020-06-23 21:01;Push;Bench Press (Barbell);1;30;kg;6;;;;0;;
2020-06-23 21:01;Push;Bench Press (Barbell);2;40;kg;5;;;;0;;
2020-06-23 21:01;Push;Bench Press (Barbell);3;40;kg;5;;;;0;;
2020-06-23 21:01;Push;Bench Press (Barbell);4;40;kg;5;;;;0;;
2020-06-23 21:01;Push;Bench Press (Barbell);5;40;kg;5;;;;0;;
2020-06-27 22:24;Push;Bench Press (Barbell);1;30;kg;12;;;;0;;
2020-06-27 22:24;Push;Bench Press (Barbell);2;35;kg;8;;;;0;;
2020-06-27 22:24;Push;Bench Press (Barbell);3;35;kg;8;;;;0;;
2020-06-30 20:51;Push;Bench Press (Barbell);1;40;kg;5;;;;0;;
2020-06-30 20:51;Push;Bench Press (Barbell);2;45;kg;5;;;;0;;
2020-06-30 20:51;Push;Bench Press (Barbell);3;45;kg;5;;;;0;;
2020-06-30 20:51;Push;Bench Press (Barbell);4;45;kg;5;;;;0;;
2020-06-30 20:51;Push;Bench Press (Barbell);5;40;kg;5;;;;0;;
2020-07-25 21:07;Push;Bench Press (Barbell);1;30;kg;12;;;;0;;
2020-07-25 21:07;Push;Bench Press (Barbell);2;35;kg;11;;;;0;;
2020-07-25 21:07;Push;Bench Press (Barbell);3;35;kg;8;;;;0;;
2020-07-28 20:33;Push;Bench Press (Barbell);1;40;kg;8;;;;0;;
2020-07-28 20:33;Push;Bench Press (Barbell);2;45;kg;5;;;;0;;
2020-07-28 20:33;Push;Bench Press (Barbell);3;45;kg;5;;;;0;;
2020-07-28 20:33;Push;Bench Press (Barbell);4;45;kg;5;;;;0;;
2020-07-28 20:33;Push;Bench Press (Barbell);5;45;kg;5;;;;0;;
2020-08-01 20:31;Push;Bench Press (Barbell);1;30;kg;10;;;;0;;
2020-08-01 20:31;Push;Bench Press (Barbell);2;35;kg;10;;;;0;;
2020-08-01 20:31;Push;Bench Press (Barbell);3;35;kg;8;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);1;50;kg;6;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);2;50;kg;6;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);3;50;kg;3;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);4;40;kg;6;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);5;40;kg;7;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);1;50;kg;6;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);2;50;kg;6;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);3;50;kg;3;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);4;40;kg;6;;;;0;;
2020-08-04 19:25;Push;Bench Press (Barbell);5;40;kg;7;;;;0;;
2020-08-08 20:50;Push;Bench Press (Barbell);1;40;kg;12;;;;0;;
2020-08-08 20:50;Push;Bench Press (Barbell);2;40;kg;10;;;;0;;
2020-08-08 20:50;Push;Bench Press (Barbell);3;40;kg;9;;;;0;;
2020-08-11 19:52;Push;Bench Press (Barbell);1;45;kg;8;;;;0;;
2020-08-11 19:52;Push;Bench Press (Barbell);2;47.5;kg;6;;;;0;;
2020-08-11 19:52;Push;Bench Press (Barbell);3;47.5;kg;5;;;;0;;
2020-08-11 19:52;Push;Bench Press (Barbell);4;47.5;kg;5;;;;0;;
2020-08-11 19:52;Push;Bench Press (Barbell);5;47.5;kg;6;;;;0;;
2020-08-15 20:39;Push;Bench Press (Barbell);1;40;kg;12;;;;0;;
2020-08-15 20:39;Push;Bench Press (Barbell);2;45;kg;8;;;;0;;
2020-08-15 20:39;Push;Bench Press (Barbell);3;45;kg;6;;;;0;;
2020-08-18 19:31;Push;Bench Press (Barbell);1;50;kg;6;;;;0;;
2020-08-18 19:31;Push;Bench Press (Barbell);2;50;kg;6;;;;0;;
2020-08-18 19:31;Push;Bench Press (Barbell);3;50;kg;2;;;;0;;
2020-08-18 19:31;Push;Bench Press (Barbell);4;45;kg;4;;;;0;;
2020-08-18 19:31;Push;Bench Press (Barbell);5;45;kg;1;;;;0;;
2021-01-16 15:18;Push;Bench Press (Barbell);1;40;kg;10;;;;0;;
2021-01-16 15:18;Push;Bench Press (Barbell);2;45;kg;7;;;;0;;
2021-01-16 15:18;Push;Bench Press (Barbell);3;45;kg;3;;;;0;;
